OBJECTID,TIS_ID,TIS_TYPE,TIS_ROUTE_,TIS_ROUTE1,TIS_DESC,MIDPNT_LAT,MIDPNT_LON,DT_MODIFIE,DT_CREATED,HMGNS_FLOW,HMGNS_FL_1,HMGNS_FL_2,ROAD_NBR,DECLARED_R,LRS_ROAD_D,LRS_ROAD_1
15514,828,HFLOW_2,431,0,MAROONDAH HWY E BD BTWN MELBA HWY AND HEALESVILLE-KOO WEE RUP RD || Original ID_HOMOGENEOUS_FLOW:2105,-37.683457,145.4382606,1404482871000,1404482871000,828,E,EAST BOUND,2720,MAROONDAH HIGHWAY ,0,FORWARD
15515,1207,HFLOW_2,431,0,MAROONDAH HIGHWAY NEBd btwn WALLACE PARADE AND MARYSVILLE ROAD || Original ID_HOMOGENEOUS_FLOW:2114,-37.6026658,145.623555,1404482882000,1404482882000,1207,NE,NORTH EAST BOUND,2720,MAROONDAH HIGHWAY ,0,FORWARD
15516,1016,HFLOW_2,431,0,HIGH STREET E Bd btwn MAROONDAH HIGHWAY AND HIGH STREET || Original ID_HOMOGENEOUS_FLOW:2128,-37.0507559,146.0776195,1404482890000,1404482890000,1016,E,EAST BOUND,2720,MAROONDAH HIGHWAY ,0,FORWARD
15517,1019,HFLOW_2,15,0,MCKILLOP STREET E Bd btwn MOORABOOL STREET AND YARRA STREET || Original ID_HOMOGENEOUS_FLOW:2196,-38.1537853,144.3591684,1404482898000,1404482898000,1019,E,EAST BOUND,2730,BELLARINE HIGHWAY ,0,FORWARD
15518,1021,HFLOW_2,15,0,QUEENSCLIFF ROAD E Bd btwn WILSONS ROAD AND LARKINS LANE || Original ID_HOMOGENEOUS_FLOW:2205,-38.1744658,144.4058595,1404482906000,1404482906000,1021,E,EAST BOUND,2730,BELLARINE HIGHWAY ,0,FORWARD
15519,184,HFLOW_1,776,1,PRINCES FWY WEST SW BD ONRAMP FROM WESTERN RING RD || Original ID_HOMOGENEOUS_FLOW:5,-37.8295703,144.8161287,1404456559000,1404456559000,184,SW,SOUTH WEST BOUND,7026,2900R 2500F  ,0,FORWARD
15520,969,HFLOW_1,1413,1,MORNINGTON PENINSULA ROUTE S BD OFFRAMP BTO FRANKSTON-DANDENONG RD || Original ID_HOMOGENEOUS_FLOW:1830,-38.1263887,145.1339829,1404481987000,1404481987000,969,S,SOUTH BOUND,7253,2840F 2090B  ,0,FORWARD
15521,1514,HFLOW_2,12,0,DEAKIN AVENUE NEBd btwn DEAKIN AVENUE Town Bound AND FIFTEENTH STREET || Original ID_HOMOGENEOUS_FLOW:1861,-34.2135238,142.1279471,1404481994000,1404481994000,1514,NE,NORTH EAST BOUND,2610,STURT HIGHWAY ,1,REVERSE
15522,789,HFLOW_2,221,1,LODDON VALLEY HIGHWAY S Bd btwn MURRAY VALLEY HIGHWAY AND BOORT-PYRAMID ROAD || Original ID_HOMOGENEOUS_FLOW:1869,-35.9300715,143.9349592,1404482004000,1404482004000,789,S,SOUTH BOUND,2630,LODDON VALLEY HIGHWAY ,1,REVERSE
15523,790,HFLOW_2,221,1,EAGLEHAWK ROAD S Bd btwn SANDHURST ROAD AND LONG GULLY-WHITE HILL ROAD || Original ID_HOMOGENEOUS_FLOW:1877,-36.7332946,144.2574097,1404482012000,1404482012000,790,S,SOUTH BOUND,2630,LODDON VALLEY HIGHWAY ,1,REVERSE
15524,1171,HFLOW_2,845,1,ST KILDA RD S BD BTWN ALMA RD AND INKERMAN ST || Original ID_HOMOGENEOUS_FLOW:1887,-37.8625668,144.9851614,1404482020000,1404482020000,1171,S,SOUTH BOUND,2660,NEPEAN HIGHWAY ,0,FORWARD
15525,793,HFLOW_2,845,1,NEPEAN HWY S BD BTWN MARTIN ST AND NORTH RD || Original ID_HOMOGENEOUS_FLOW:1895,-37.8986761,145.0061652,1404482027000,1404482027000,793,S,SOUTH BOUND,2660,NEPEAN HIGHWAY ,0,FORWARD
15526,1524,HFLOW_2,845,1,NEPEAN HWY SE BD BTWN SOUTH RD AND STATION ST || Original ID_HOMOGENEOUS_FLOW:1904,-37.9344435,145.0357148,1404482035000,1404482035000,1524,SE,SOUTH EAST BOUND,2660,NEPEAN HIGHWAY ,0,FORWARD
15527,1528,HFLOW_2,845,1,NEPEAN HWY SE BD BTWN BALCOMBE RD AND WARRIGAL RD || Original ID_HOMOGENEOUS_FLOW:1912,-37.981861,145.070934,1404482043000,1404482043000,1528,SE,SOUTH EAST BOUND,2660,NEPEAN HIGHWAY ,0,FORWARD
15528,1529,HFLOW_2,845,1,NEPEAN HWY S BD BTWN SEAFORD RD AND OVERTON RD || Original ID_HOMOGENEOUS_FLOW:1920,-38.1204885,145.1249646,1404482051000,1404482051000,1529,S,SOUTH BOUND,2660,NEPEAN HIGHWAY ,0,FORWARD
15529,802,HFLOW_2,845,1,NEPEAN HWY S BD BTWN TYABB RD AND BENTONS RD || Original ID_HOMOGENEOUS_FLOW:1929,-38.235556,145.0371867,1404482060000,1404482060000,802,S,SOUTH BOUND,2660,NEPEAN HIGHWAY ,0,FORWARD
15530,1533,HFLOW_2,430,1,BORUNG HIGHWAY SWBd btwn BLUE RIBBON ROAD AND WESTERN HIGHWAY || Original ID_HOMOGENEOUS_FLOW:1943,-36.3945336,142.1374525,1404482066000,1404482066000,1533,SW,SOUTH WEST BOUND,2690,BORUNG HIGHWAY ,0,FORWARD
15531,806,HFLOW_2,222,0,BORUNG HIGHWAY E Bd btwn ST ARNAUD-WYCHEPROOF ROAD AND ST ARNAUD-WYCHEPROOF ROAD || Original ID_HOMOGENEOUS_FLOW:1947,-36.2583237,143.2082606,1404482074000,1404482074000,806,E,EAST BOUND,2690,BORUNG HIGHWAY ,1,REVERSE
15532,1185,HFLOW_2,846,1,SUNRAYSIA HIGHWAY SEBd btwn HENTY HIGHWAY AND HOPETOUN-WOOMELANG ROAD || Original ID_HOMOGENEOUS_FLOW:1996,-35.6494517,142.6232558,1404482084000,1404482084000,1185,SE,SOUTH EAST BOUND,2700,SUNRAYSIA HIGHWAY ,1,REVERSE
15533,1024,HFLOW_2,432,0,CAMPBELL STREET NEBd btwn HIGH STREET AND PYRENEES HIGHWAY || Original ID_HOMOGENEOUS_FLOW:2239,-37.2752431,142.9417926,1404482914000,1404482914000,1024,NE,NORTH EAST BOUND,2740,PYRENEES HIGHWAY ,1,REVERSE
15534,1027,HFLOW_2,432,0,HIGH STREET NEBd btwn DERBY ROAD AND MARYBOROUGH-MAJORCA ROAD || Original ID_HOMOGENEOUS_FLOW:2247,-37.0500849,143.7328269,1404482921000,1404482921000,1027,NE,NORTH EAST BOUND,2740,PYRENEES HIGHWAY ,1,REVERSE
15535,845,HFLOW_2,432,0,LYONS STREET E Bd btwn PYRENEES HIGHWAY AND HILLIERS STREET || Original ID_HOMOGENEOUS_FLOW:2256,-37.1080398,144.058909,1404482928000,1404482928000,845,E,EAST BOUND,2740,PYRENEES HIGHWAY ,1,REVERSE
15536,847,HFLOW_2,224,0,TOORAK RD E BD BTWN MONASH FWY AND TOORONGA RD || Original ID_HOMOGENEOUS_FLOW:2269,-37.8448391,145.0404595,1404482935000,1404482935000,847,E,EAST BOUND,2750,BURWOOD HIGHWAY ,0,FORWARD
15537,850,HFLOW_2,224,0,BURWOOD HWY E BD BTWN ELGAR RD AND STATION ST || Original ID_HOMOGENEOUS_FLOW:2278,-37.849847,145.1144932,1404482943000,1404482943000,850,E,EAST BOUND,2750,BURWOOD HIGHWAY ,0,FORWARD
15538,853,HFLOW_2,224,0,BURWOOD HWY SE BD BTWN SCORESBY RD AND FERNTREE GULLY RD || Original ID_HOMOGENEOUS_FLOW:2286,-37.8794378,145.2677188,1404482952000,1404482952000,853,E,EAST BOUND,2750,BURWOOD HIGHWAY ,0,FORWARD
15539,1231,HFLOW_2,848,1,CANN VALLEY HIGHWAY S Bd btwn BENNETT STREET AND PRINCES HIGHWAY EAST || Original ID_HOMOGENEOUS_FLOW:2294,-37.5628981,149.1523783,1404482959000,1404482959000,1231,S,SOUTH BOUND,2760,MONARO HIGHWAY ,1,REVERSE
15540,1235,HFLOW_2,433,0,HAMILTON HIGHWAY E Bd btwn PETSCHELS LANE AND UNNAMED || Original ID_HOMOGENEOUS_FLOW:2303,-37.7991011,142.1749154,1404482966000,1404482966000,1235,E,EAST BOUND,2780,HAMILTON HIGHWAY ,1,REVERSE
15541,1043,HFLOW_2,433,0,HAMILTON HIGHWAY SEBd btwn CONNEWARREN LANE AND DUNLOP STREET || Original ID_HOMOGENEOUS_FLOW:2311,-38.0780949,142.794142,1404482973000,1404482973000,1043,SE,SOUTH EAST BOUND,2780,HAMILTON HIGHWAY ,1,REVERSE
15542,1240,HFLOW_2,433,0,HIGH STREET E Bd btwn BROWN STREET AND WEST STREET || Original ID_HOMOGENEOUS_FLOW:2319,-37.9528445,143.337284,1404482980000,1404482980000,1240,E,EAST BOUND,2780,HAMILTON HIGHWAY ,1,REVERSE
15543,1502,HFLOW_2,844,0,SOUTH GIPPSLAND HIGHWAY E Bd btwn WHITELAW STREET AND FLEMMING ROAD || Original ID_HOMOGENEOUS_FLOW:1721,-38.5976531,146.1277838,1404481957000,1404481957000,1502,E,EAST BOUND,2580,SOUTH GIPPSLAND HIGHWAY ,0,FORWARD
15544,1504,HFLOW_2,844,0,MAIN STREET E Bd btwn PORT WELSHPOOL ROAD AND SOUTH GIPPSLAND HIGHWAY || Original ID_HOMOGENEOUS_FLOW:1729,-38.6652604,146.4387131,1404481964000,1404481964000,1504,E,EAST BOUND,2580,SOUTH GIPPSLAND HIGHWAY ,0,FORWARD
15545,781,HFLOW_2,844,0,SOUTH GIPPSLAND HIGHWAY E Bd btwn YARRUM-TRARALGON ROAD AND HIGH STREET || Original ID_HOMOGENEOUS_FLOW:1737,-38.5579022,146.7884432,1404481972000,1404481972000,781,E,EAST BOUND,2580,SOUTH GIPPSLAND HIGHWAY ,0,FORWARD
15546,1159,HFLOW_1,1413,1,MORNINGTON PENINSULA ROUTE SW BD ONRAMP FROM THOMPSON RD || Original ID_HOMOGENEOUS_FLOW:1820,-38.0692929,145.1510178,1404481979000,1404481979000,1159,SW,SOUTH WEST BOUND,7091,5164B 2600F  ,0,FORWARD
15547,1119,HFLOW_2,426,1,RAILWAY PLACE S Bd btwn ELMORE-RAYWOOD ROAD AND MARGARET STREET || Original ID_HOMOGENEOUS_FLOW:1511,-36.495064,144.6081625,1404482580000,1404482580000,1119,S,SOUTH BOUND,2540,NORTHERN HIGHWAY ,1,REVERSE
15548,1473,HFLOW_2,426,1,HIGH STREET SEBd btwn MCIVOR HIGHWAY AND MITCHELL STREET || Original ID_HOMOGENEOUS_FLOW:1519,-36.9117098,144.6973277,1404482587000,1404482587000,1473,SE,SOUTH EAST BOUND,2540,NORTHERN HIGHWAY ,1,REVERSE
15549,936,HFLOW_2,426,1,SYDNEY STREET S Bd btwn NORTHERN HIGHWAY AND POWLETT STREET || Original ID_HOMOGENEOUS_FLOW:1529,-37.2888095,144.9497596,1404482594000,1404482594000,936,S,SOUTH BOUND,2540,NORTHERN HIGHWAY ,1,REVERSE
15550,1479,HFLOW_1,1620,0,HUME FREEWAY Onramp NEBd btwn HUME HIGHWAY AND HUME FREEWAY || Original ID_HOMOGENEOUS_FLOW:1562,-36.5209431,146.0613394,1404482601000,1404482601000,1479,NE,NORTH EAST BOUND,7071,5047B 2550F  ,0,FORWARD
15551,1490,HFLOW_1,1620,1,HUME FREEWAY Offramp S Bd btwn HUME FREEWAY AND HARRYS CREEK ROAD || Original ID_HOMOGENEOUS_FLOW:1637,-36.6429063,145.7287581,1404482609000,1404482609000,1490,S,SOUTH BOUND,7522,2550R 5414B  ,0,FORWARD
15552,761,HFLOW_2,1193,1,HUME LINK HIGHWAY N BD BTWN HUME FREEWAY ONRAMP AND HUME FREEWAY || Original ID_HOMOGENEOUS_FLOW:1654,-36.1116519,146.893604,1404482616000,1404482616000,761,S,SOUTH BOUND,2553,HUME LINK HIGHWAY ,1,REVERSE
15553,955,HFLOW_2,844,0,SOUTH GIPPSLAND HWY S BD BTWN PRINCES HWY EAST AND GREENS RD || Original ID_HOMOGENEOUS_FLOW:1671,-38.0086283,145.2292248,1404482625000,1404482625000,955,S,SOUTH BOUND,2580,SOUTH GIPPSLAND HIGHWAY ,0,FORWARD
15554,768,HFLOW_2,844,0,SOUTH GIPPSLAND HWY SE BD BTWN CRAIG RD AND CLYDE-FIVE WAYS RD || Original ID_HOMOGENEOUS_FLOW:1686,-38.1390812,145.3044827,1404482634000,1404482634000,768,SE,SOUTH EAST BOUND,2580,SOUTH GIPPSLAND HIGHWAY ,0,FORWARD
15555,1147,HFLOW_2,844,0,SOUTH GIPPSLAND HIGHWAY S Bd btwn MCDONALDS TRACK AND WESTERN PORT ROAD || Original ID_HOMOGENEOUS_FLOW:1696,-38.2645696,145.5489757,1404482641000,1404482641000,1147,S,SOUTH BOUND,2580,SOUTH GIPPSLAND HIGHWAY ,1,REVERSE
15556,773,HFLOW_2,844,0,ANDERSON STREET SEBd btwn SOUTH GIPPSLAND HIGHWAY AND MCCARTIN STREET || Original ID_HOMOGENEOUS_FLOW:1710,-38.4736887,145.9449181,1404482649000,1404482649000,773,SE,SOUTH EAST BOUND,2580,SOUTH GIPPSLAND HIGHWAY ,0,FORWARD
15557,777,HFLOW_2,844,0,WHITELAW STREET E Bd btwn WHITELAW STREET AND MIRBOO NORTH-MEENYAN ROAD || Original ID_HOMOGENEOUS_FLOW:1718,-38.5774195,146.0162943,1404482656000,1404482656000,777,E,EAST BOUND,2580,SOUTH GIPPSLAND HIGHWAY ,0,FORWARD
15558,1153,HFLOW_2,844,0,SOUTH GIPPSLAND HIGHWAY E Bd btwn SILCOCKS HILL ROAD AND BARRY ROAD || Original ID_HOMOGENEOUS_FLOW:1726,-38.6639494,146.3633151,1404482664000,1404482664000,1153,E,EAST BOUND,2580,SOUTH GIPPSLAND HIGHWAY ,0,FORWARD
15559,1506,HFLOW_2,844,0,COMMERCIAL ROAD N Bd btwn BUCKLEY STREET AND DEVON STREET || Original ID_HOMOGENEOUS_FLOW:1734,-38.5569013,146.677426,1404482672000,1404482672000,1506,N,NORTH BOUND,2580,SOUTH GIPPSLAND HIGHWAY ,0,FORWARD
15560,1508,HFLOW_2,844,0,HIGH STREET NEBd btwn DUKE STREET AND MCLOUGHLINS BEACH ROAD || Original ID_HOMOGENEOUS_FLOW:1738,-38.5255822,146.8719532,1404482680000,1404482680000,1508,NE,NORTH EAST BOUND,2580,SOUTH GIPPSLAND HIGHWAY ,0,FORWARD
15561,786,HFLOW_1,1413,0,MORNINGTON PENINSULA ROUTE E BD ONRAMP FROM LONSDALE ST || Original ID_HOMOGENEOUS_FLOW:1838,-38.3552457,144.927372,1404482695000,1404482695000,786,E,EAST BOUND,7405,5997B 2600R  ,0,FORWARD
15562,1160,HFLOW_1,1413,1,MORNINGTON PENINSULA ROUTE S BD ONRAMP FROM SEAFORD RD || Original ID_HOMOGENEOUS_FLOW:1821,-38.1099971,145.1390808,1404482688000,1404482688000,1160,S,SOUTH BOUND,7092,5156B 2840F  ,0,FORWARD
15563,1165,HFLOW_2,12,0,DEAKIN AVENUE NEBd btwn FIFTEENTH STREET AND ELEVENTH STREET EAST || Original ID_HOMOGENEOUS_FLOW:1862,-34.1979686,142.146804,1404482703000,1404482703000,1165,NE,NORTH EAST BOUND,2610,STURT HIGHWAY ,1,REVERSE
15564,1168,HFLOW_2,221,1,LODDON VALLEY HIGHWAY S BD BTWN BOORT-PYRAMID ROAD WEST AND BOORT-PYRAMID ROAD EAST || Original ID_HOMOGENEOUS_FLOW:1870,-36.1188359,143.9257956,1404482711000,1404482711000,1168,S,SOUTH BOUND,2630,LODDON VALLEY HIGHWAY ,1,REVERSE
15565,245,HFLOW_2,4,0,LEONGATHA-MIRBOO ROAD E Bd btwn LEONGATHA-YARRAGON ROAD AND GRAND RIDGE WEST ROAD || Original ID_HOMOGENEOUS_FLOW:457,-38.414718,146.0445826,1404458565000,1404458565000,245,E,EAST BOUND,2180,STRZELECKI HIGHWAY ,1,REVERSE
15566,1536,HFLOW_2,846,1,SUNRAYSIA HIGHWAY S Bd btwn WARRACKNABEAL-BIRCHIP ROAD AND CAMP STREET || Original ID_HOMOGENEOUS_FLOW:2004,-36.1053383,142.8822282,1404482092000,1404482092000,1536,S,SOUTH BOUND,2700,SUNRAYSIA HIGHWAY ,1,REVERSE
15567,1189,HFLOW_2,846,1,SUNRAYSIA HIGHWAY E Bd btwn UNNAMED AND SILVERMINES ROAD || Original ID_HOMOGENEOUS_FLOW:2012,-36.6109807,143.2496774,1404482099000,1404482099000,1189,E,EAST BOUND,2700,SUNRAYSIA HIGHWAY ,1,REVERSE
15568,818,HFLOW_2,14,0,GOROKE STREET E Bd btwn BASS HIGHWAY AND POWLETT STREET || Original ID_HOMOGENEOUS_FLOW:2045,-38.627173,145.7153881,1404482114000,1404482114000,818,E,EAST BOUND,2710,BASS HIGHWAY ,0,FORWARD
15569,201,HFLOW_2,209,1,WARRNAMBOOL-MORTLAKE ROAD SWBd btwn DUNLOP STREET AND REDDIE ROAD || Original ID_HOMOGENEOUS_FLOW:196,-38.2112605,142.6555392,1404458593000,1404458593000,201,SW,SOUTH WEST BOUND,2010,HOPKINS HIGHWAY ,1,REVERSE
15570,1543,HFLOW_2,846,1,HIGH STREET S Bd btwn BRIDPORT STREET AND HIGH STREET || Original ID_HOMOGENEOUS_FLOW:2022,-37.0920927,143.4752374,1404482107000,1404482107000,1543,S,SOUTH BOUND,2700,SUNRAYSIA HIGHWAY ,1,REVERSE
15571,1198,HFLOW_2,431,0,WHITEHORSE RD E BD BTWN STATION ST AND MIDDLEBOROUGH RD || Original ID_HOMOGENEOUS_FLOW:2072,-37.8189686,145.1311737,1404482124000,1404482124000,1198,E,EAST BOUND,2720,MAROONDAH HIGHWAY ,0,FORWARD
15572,1548,HFLOW_2,431,0,WHITEHORSE RD E BD BTWN DEEP CREEK RD AND HEATHERDALE RD || Original ID_HOMOGENEOUS_FLOW:2080,-37.8169972,145.2104771,1404482133000,1404482133000,1548,E,EAST BOUND,2720,MAROONDAH HIGHWAY ,0,FORWARD
15573,1550,HFLOW_2,431,0,WHITEHORSE RD NE BD BTWN KALINDA RD AND KENT AVE || Original ID_HOMOGENEOUS_FLOW:2088,-37.7901767,145.2656926,1404482143000,1404482143000,1550,NE,NORTH EAST BOUND,2720,MAROONDAH HIGHWAY ,0,FORWARD
15574,1012,HFLOW_2,431,0,MAIN ST E BD BTWN CAVE HILL RD AND ANDERSON ST || Original ID_HOMOGENEOUS_FLOW:2096,-37.757366,145.3489544,1404482151000,1404482151000,1012,E,EAST BOUND,2720,MAROONDAH HIGHWAY ,0,FORWARD
15575,827,HFLOW_2,431,0,MAROONDAH HWY N BD BTWN KILLARA RD AND MELBA HWY || Original ID_HOMOGENEOUS_FLOW:2104,-37.7228275,145.3788855,1404482159000,1404482159000,827,N,NORTH BOUND,2720,MAROONDAH HIGHWAY ,0,FORWARD
15576,1624,HFLOW_1,1194,0,SOUTHERN LINK TOLLWAY NE BD TO BURNLEY RD || Original ID_HOMOGENEOUS_FLOW:2807,-37.830665,145.0049831,1404481696000,1404481696000,1624,E,EAST BOUND,7289,7825F 5293B  ,0,FORWARD
15577,1629,HFLOW_1,851,1,WESTERN LINK TOLLWAY S BD BTWN FLEMINGTON RD AND RACECOURSE RD || Original ID_HOMOGENEOUS_FLOW:2854,-37.7909701,144.936968,1404481704000,1404481704000,1629,S,SOUTH BOUND,2999,WESTERN LINK TOLLWAY  ,1,REVERSE
15578,907,HFLOW_1,851,1,WESTERN LINK TOLLWAY E BD OFFRAMP TO BELL ST || Original ID_HOMOGENEOUS_FLOW:2866,-37.7355292,144.9286271,1404481711000,1404481711000,907,SE,SOUTH EAST BOUND,7604,2999R 2400R  ,0,FORWARD
15579,1851,HFLOW_1,851,1,WESTERN LINK TOLLWAY S BD OFFRAMP TO BRUNSWICK RD || Original ID_HOMOGENEOUS_FLOW:2889,-37.7719816,144.9373656,1404481719000,1404481719000,1851,S,SOUTH BOUND,7609,2999R 5863B  ,0,FORWARD
15580,910,HFLOW_3,1403,1,BENAMBRA-CORRYONG ROAD S Bd btwn BENAMBRA-CORRYONG ROAD Start AND BENAMBRA-CORRYONG ROAD End || Original ID_HOMOGENEOUS_FLOW:2897,-36.6326029,147.7844569,1404481731000,1404481731000,910,S,SOUTH BOUND,3001,BENAMBRA-CORRYONG ROAD ,1,REVERSE
15581,1856,HFLOW_3,20,1,BOOLARRA-FOSTER ROAD S Bd btwn GRAND RIDGE EAST ROAD AND GRAND RIDGE ROAD || Original ID_HOMOGENEOUS_FLOW:2905,-38.4653159,146.290584,1404481741000,1404481741000,1856,S,SOUTH BOUND,3010,BOOLARRA ROAD ,0,FORWARD
15582,1651,HFLOW_3,438,1,MT VICTORY ROAD SEBd btwn LAKE WARTOOK ROAD AND SILVERBAND ROAD || Original ID_HOMOGENEOUS_FLOW:2914,-37.142924,142.4537317,1404481752000,1404481752000,1651,SE,SOUTH EAST BOUND,4002,NORTHERN GRAMPIANS ROAD ,1,REVERSE
15583,1653,HFLOW_3,854,0,GREAT ALPINE ROAD SEBd btwn GLENROWAN-MYRTLEFORD ROAD AND PRINCE STREET || Original ID_HOMOGENEOUS_FLOW:2929,-36.5502843,146.6961422,1404481759000,1404481759000,1653,SE,SOUTH EAST BOUND,4005,GREAT ALPINE ROAD ,0,FORWARD
15584,831,HFLOW_2,431,0,MAROONDAH HIGHWAY E Bd btwn MYERS CREEK ROAD AND WALLACE PARADE || Original ID_HOMOGENEOUS_FLOW:2113,-37.6475113,145.5325749,1404482168000,1404482168000,831,E,EAST BOUND,2720,MAROONDAH HIGHWAY ,0,FORWARD
15585,835,HFLOW_2,431,0,MAROONDAH HIGHWAY E Bd btwn MAINDAMPLE-BENALLA ROAD AND KIDSTON PARADE || Original ID_HOMOGENEOUS_FLOW:2127,-37.0370958,146.0131471,1404482175000,1404482175000,835,E,EAST BOUND,2720,MAROONDAH HIGHWAY ,0,FORWARD
